Name, PositionX, PositionY, RunTime
TestPerson1;-0,03;-0,05;0,529248
TestPerson1;-0,03;-0,04;1,041893
TestPerson1;-0,03;-0,04;1,550079
TestPerson1;-0,03;-0,04;2,072987
TestPerson1;-0,03;-0,04;2,582571
TestPerson1;-0,03;-0,03;3,088035
TestPerson1;-0,03;-0,04;3,595837
TestPerson1;-0,03;-0,05;4,106595
TestPerson1;-0,04;-0,05;4,612394
TestPerson1;-0,03;-0,05;5,122529
TestPerson1;-0,03;-0,05;5,626273
TestPerson1;-0,04;-0,05;6,139063
TestPerson1;-0,04;-0,05;6,642489
TestPerson1;-0,04;-0,05;7,147307
TestPerson1;-0,05;-0,06;7,650622
TestPerson1;-0,05;-0,06;8,158152
TestPerson1;-0,05;-0,06;8,669564
TestPerson1;-0,05;-0,06;9,191473
TestPerson1;-0,04;-0,05;9,704563
TestPerson1;-0,04;-0,05;10,21233
TestPerson1;-0,04;-0,05;10,72438
TestPerson1;-0,04;-0,05;11,23055
TestPerson1;-0,04;-0,05;11,74009
TestPerson1;-0,04;-0,05;12,25666
TestPerson1;-0,04;-0,05;12,76744
TestPerson1;-0,04;-0,05;13,27465
TestPerson1;-0,04;-0,05;13,78724
TestPerson1;-0,04;-0,05;14,28837
TestPerson1;-0,04;-0,05;14,78996
TestPerson1;-0,04;-0,05;15,29562
TestPerson1;-0,04;-0,05;15,80739
TestPerson1;-0,04;-0,05;16,32336
TestPerson1;-0,04;-0,05;16,82409
TestPerson1;-0,04;-0,06;17,33225
TestPerson1;-0,05;-0,06;17,84314
TestPerson1;-0,04;-0,06;18,35346
TestPerson1;-0,04;-0,06;18,8694
TestPerson1;-0,04;-0,05;19,37325
TestPerson1;-0,04;-0,05;19,87355
TestPerson1;-0,04;-0,05;20,3759
TestPerson1;-0,04;-0,05;20,8806
TestPerson1;-0,04;-0,05;21,38228
TestPerson1;-0,04;-0,06;21,88322
TestPerson1;-0,04;-0,06;22,38451
TestPerson1;-0,04;-0,06;22,88625
TestPerson1;-0,04;-0,05;23,38696
TestPerson1;-0,04;-0,06;23,89216
TestPerson1;-0,03;-0,06;24,40593
TestPerson1;-0,03;-0,06;24,91157
TestPerson1;-0,03;-0,06;25,41665
TestPerson1;-0,03;-0,06;25,92401
TestPerson1;-0,04;-0,05;26,43596
TestPerson1;-0,04;-0,05;26,9392
TestPerson1;-0,05;-0,05;27,44095
TestPerson1;-0,05;-0,05;27,94486
TestPerson1;-0,05;-0,05;28,45279
TestPerson1;-0,05;-0,05;28,95457
TestPerson1;-0,05;-0,05;29,46459
TestPerson1;-0,05;-0,06;29,97674
TestPerson1;-0,04;-0,06;30,48111
TestPerson1;-0,04;-0,06;30,98305
TestPerson1;-0,04;-0,06;31,4852
TestPerson1;-0,04;-0,06;31,98537
TestPerson1;-0,04;-0,06;32,48786
TestPerson1;-0,04;-0,06;32,98896
TestPerson1;-0,04;-0,06;33,49836
TestPerson1;-0,04;-0,06;34,00376
TestPerson1;-0,04;-0,06;34,50571
TestPerson1;-0,04;-0,06;35,00689
TestPerson1;-0,04;-0,06;35,50769
TestPerson1;-0,04;-0,06;36,00803
TestPerson1;-0,04;-0,06;36,50854
TestPerson1;-0,04;-0,06;37,02176
TestPerson1;-0,04;-0,06;37,52828
TestPerson1;-0,04;-0,06;38,04018
TestPerson1;-0,04;-0,06;38,55357
TestPerson1;-0,04;-0,06;39,05654
TestPerson1;-0,03;-0,06;39,55858
TestPerson1;-0,04;-0,06;40,06144
TestPerson1;-0,05;-0,06;40,56335
TestPerson1;-0,05;-0,06;41,06609
TestPerson1;-0,05;-0,06;41,56826
TestPerson1;-0,05;-0,06;42,07076
TestPerson1;-0,05;-0,06;42,57179
TestPerson1;-0,05;-0,06;43,07292
TestPerson1;-0,04;-0,05;43,57418
TestPerson1;-0,04;-0,05;44,07912
TestPerson1;-0,04;-0,05;44,59039
TestPerson1;-0,04;-0,05;45,09127
TestPerson1;-0,04;-0,05;45,60344
TestPerson1;-0,04;-0,05;46,11711
TestPerson1;-0,04;-0,05;46,61891
TestPerson1;-0,05;-0,05;47,13082
TestPerson1;-0,05;-0,05;47,63441
TestPerson1;-0,05;-0,05;48,13582
TestPerson1;-0,05;-0,05;48,65871
TestPerson1;-0,05;-0,05;49,16553
TestPerson1;-0,05;-0,05;49,66941
TestPerson1;-0,05;-0,05;50,1917
TestPerson1;-0,05;-0,05;50,69596
TestPerson1;-0,04;-0,05;51,19721
TestPerson1;-0,04;-0,05;51,69995
TestPerson1;-0,04;-0,05;52,2004
TestPerson1;-0,04;-0,05;52,70141
TestPerson1;-0,04;-0,05;53,20574
TestPerson1;-0,04;-0,05;53,71595
TestPerson1;-0,05;-0,05;54,21785
TestPerson1;-0,05;-0,05;54,72128
TestPerson1;-0,04;-0,05;55,22179
TestPerson1;-0,03;-0,03;55,72322
TestPerson1;-0,02;-0,02;56,23634
TestPerson1;-0,02;-0,02;56,74037
TestPerson1;-0,02;-0,02;57,24574
TestPerson1;-0,02;-0,02;57,7472
TestPerson1;-0,02;-0,02;58,24736
TestPerson1;-0,02;-0,02;58,74881
TestPerson1;-0,03;-0,03;59,25962
TestPerson1;-0,03;-0,05;59,76499
TestPerson1;-0,04;-0,05;60,27697
TestPerson1;-0,04;-0,05;60,78727
TestPerson1;-0,05;-0,05;61,29177
TestPerson1;-0,05;-0,06;61,79462
TestPerson1;-0,05;-0,06;62,29674
TestPerson1;-0,05;-0,06;62,79741
TestPerson1;-0,05;-0,06;63,29934
TestPerson1;-0,05;-0,06;63,81199
TestPerson1;-0,05;-0,05;64,32578
TestPerson1;-0,04;-0,05;64,82848
TestPerson1;-0,04;-0,05;65,33274
TestPerson1;-0,04;-0,05;65,85594
TestPerson1;-0,04;-0,05;66,35867
TestPerson1;-0,04;-0,05;66,85909
TestPerson1;-0,04;-0,05;67,36037
TestPerson1;-0,04;-0,05;67,8737
TestPerson1;-0,04;-0,05;68,3819
TestPerson1;-0,04;-0,05;68,89191
TestPerson1;-0,04;-0,05;69,39504
TestPerson1;-0,04;-0,05;69,90791
TestPerson1;-0,04;-0,06;70,40812
TestPerson1;-0,05;-0,05;70,90903
TestPerson1;-0,05;-0,05;71,42048
TestPerson1;-0,04;-0,05;71,92716
TestPerson1;-0,04;-0,06;72,44168
TestPerson1;-0,04;-0,06;72,94328
TestPerson1;-0,04;-0,05;73,45584
TestPerson1;-0,04;-0,05;73,95866
TestPerson1;-0,05;-0,05;74,46075
TestPerson1;-0,05;-0,06;74,96371
TestPerson1;-0,05;-0,05;75,46471
TestPerson1;-0,05;-0,05;75,96998
TestPerson1;-0,04;-0,05;76,47031
TestPerson1;-0,04;-0,06;76,97852
TestPerson1;-0,04;-0,06;77,47972
TestPerson1;-0,04;-0,06;77,98907
TestPerson1;-0,04;-0,06;78,49986
TestPerson1;-0,04;-0,06;79,00003
TestPerson1;-0,05;-0,06;79,51688
TestPerson1;-0,05;-0,06;80,02634
TestPerson1;-0,05;-0,06;80,5383
TestPerson1;-0,05;-0,06;81,0453
TestPerson1;-0,05;-0,06;81,54832
TestPerson1;-0,05;-0,06;82,05027
TestPerson1;-0,05;-0,06;82,55286
TestPerson1;-0,04;-0,05;83,05495
TestPerson1;-0,04;-0,06;83,57007
TestPerson1;-0,04;-0,06;84,08498
TestPerson1;-0,04;-0,06;84,59824
TestPerson1;-0,04;-0,06;85,09973
TestPerson1;-0,04;-0,06;85,60113
TestPerson1;-0,04;-0,06;86,1028
TestPerson1;-0,04;-0,06;86,61449
TestPerson1;-0,05;-0,06;87,11892
TestPerson1;-0,04;-0,06;87,62017
TestPerson1;-0,04;-0,06;88,12277
TestPerson1;-0,04;-0,06;88,62479
TestPerson1;-0,04;-0,06;89,12842
TestPerson1;-0,05;-0,06;89,62863
TestPerson1;-0,04;-0,06;90,12965
TestPerson1;-0,04;-0,06;90,63111
TestPerson1;-0,04;-0,06;91,13268
TestPerson1;-0,04;-0,06;91,6337
TestPerson1;-0,04;-0,06;92,13381
TestPerson1;-0,04;-0,06;92,63485
TestPerson1;-0,04;-0,06;93,13659
TestPerson1;-0,04;-0,06;93,63827
TestPerson1;-0,04;-0,06;94,13996
TestPerson1;-0,04;-0,06;94,64265
TestPerson1;-0,04;-0,06;95,15598
TestPerson1;-0,03;-0,06;95,65723
TestPerson1;-0,03;-0,06;96,15977
TestPerson1;-0,03;-0,06;96,67188
TestPerson1;-0,03;-0,06;97,17905
TestPerson1;-0,03;-0,06;97,68779
TestPerson1;-0,03;-0,06;98,1909
TestPerson1;-0,03;-0,06;98,69096
TestPerson1;-0,03;-0,06;99,1929
TestPerson1;-0,03;-0,06;99,69423
TestPerson1;-0,03;-0,06;100,1945
TestPerson1;-0,03;-0,06;100,6968
TestPerson1;-0,03;-0,05;101,2112
TestPerson1;-0,03;-0,05;101,7123
TestPerson1;-0,02;-0,06;102,2135
TestPerson1;-0,02;-0,06;102,7281
TestPerson1;-0,02;-0,06;103,2292
TestPerson1;-0,02;-0,06;103,7312
TestPerson1;-0,03;-0,06;104,2456
TestPerson1;-0,03;-0,06;104,7468
TestPerson1;-0,03;-0,05;105,248
TestPerson1;-0,03;-0,05;105,7572
TestPerson1;-0,03;-0,05;106,2598
TestPerson1;-0,04;-0,04;106,7607
TestPerson1;-0,04;-0,04;107,2612
TestPerson1;-0,03;-0,05;107,7619
TestPerson1;-0,03;-0,04;108,264
TestPerson1;-0,03;-0,05;108,767
TestPerson1;-0,04;-0,06;109,2687
TestPerson1;-0,04;-0,06;109,7699
TestPerson1;-0,04;-0,06;110,2819
TestPerson1;-0,04;-0,06;110,7856
TestPerson1;-0,04;-0,06;111,2978
TestPerson1;-0,04;-0,06;111,8109
TestPerson1;-0,04;-0,06;112,3136
TestPerson1;-0,04;-0,06;112,8155
TestPerson1;-0,04;-0,06;113,3192
TestPerson1;-0,04;-0,06;113,8243
TestPerson1;-0,04;-0,06;114,333
TestPerson1;-0,04;-0,06;114,8347
TestPerson1;-0,04;-0,06;115,3447
TestPerson1;-0,04;-0,05;115,8508
TestPerson1;-0,04;-0,05;116,3537
TestPerson1;-0,04;-0,05;116,8638
