"Name;";"PosX;";"PosY;";"Time;"
16;-0,01;0,01;0,5546
16;-0,01;0,01;1,057102
16;-0,01;0,01;1,557286
16;-0,01;0;2,076398
16;-0,01;0;2,603211
16;-0,01;-0,01;3,109113
16;0;-0,02;3,6093
16;0;-0,02;4,122386
16;-0,01;-0,01;4,626487
16;-0,01;-0,01;5,131666
16;-0,01;-0,01;5,652558
16;-0,01;-0,01;6,162589
16;-0,01;-0,01;6,663791
16;-0,01;-0,01;7,187144
16;-0,01;-0,01;7,699474
16;-0,01;-0,01;8,214821
16;-0,01;-0,01;8,716228
16;-0,01;-0,01;9,230747
16;-0,01;-0,01;9,744708
16;-0,01;-0,01;10,24576
16;-0,01;-0,01;10,76012
16;-0,01;-0,01;11,27168
16;-0,02;-0,02;11,78264
16;-0,02;-0,03;12,29084
16;-0,03;-0,04;12,81486
16;-0,03;-0,05;13,32765
16;-0,03;-0,05;13,83675
16;-0,04;-0,05;14,34861
16;-0,04;-0,05;14,8491
16;-0,04;-0,05;15,35012
16;-0,04;-0,05;15,86379
16;-0,05;-0,05;16,3669
16;-0,05;-0,05;16,87709
16;-0,04;-0,05;17,37875
16;-0,03;-0,05;17,89329
16;-0,03;-0,05;18,39392
16;-0,03;-0,05;18,89464
16;-0,03;-0,04;19,39569
16;-0,02;-0,03;19,90482
16;-0,02;-0,01;20,41789
16;-0,01;-0,01;20,93386
16;0;-0,01;21,4371
16;0;-0,01;21,9464
16;0;-0,01;22,45174
16;0;-0,01;22,95221
16;0;-0,02;23,45933
16;0;-0,01;23,97565
16;0;-0,01;24,49071
16;-0,01;-0,01;25,00591
16;0;-0,01;25,5147
16;0;-0,01;26,02292
16;-0,01;-0,01;26,53955
16;-0,02;-0,01;27,0409
16;-0,01;-0,01;27,55666
16;0;-0,02;28,07093
16;0;-0,03;28,57243
16;0,01;-0,03;29,08868
16;0,01;-0,03;29,61141
16;0,01;-0,03;30,12384
16;0,01;-0,03;30,62432
16;0,01;-0,03;31,14023
16;0,01;-0,04;31,65893
16;0,03;-0,05;32,17858
16;0,02;-0,05;32,68454
16;0,02;-0,05;33,20565
16;0,03;-0,05;33,70601
16;0,03;-0,05;34,20603
16;0,03;-0,05;34,71062
16;0,03;-0,05;35,21158
16;0,04;-0,05;35,71858
16;0,04;-0,05;36,219
16;0,04;-0,05;36,71957
16;0,04;-0,05;37,23678
16;0,04;-0,05;37,75246
16;0,04;-0,05;38,27534
16;0,04;-0,05;38,78401
16;0,03;-0,05;39,28565
16;0,03;-0,05;39,81083
16;0,03;-0,05;40,32557
16;0,03;-0,05;40,83041
16;0,02;-0,05;41,33834
16;0,01;-0,05;41,83913
16;0;-0,05;42,35374
16;-0,01;-0,05;42,86488
16;-0,01;-0,05;43,37853
16;-0,01;-0,05;43,89191
16;0;-0,05;44,39301
16;0,01;-0,05;44,90723
16;0,03;-0,06;45,42
16;0,04;-0,06;45,92172
16;0,04;-0,07;46,42511
16;0,04;-0,06;46,93317
16;0,04;-0,05;47,43792
16;0,02;-0,04;47,95031
16;0,01;-0,02;48,45227
16;0,01;-0,01;48,96289
16;0;0;49,46479
16;0,01;0,01;49,97843
16;0,01;0,01;50,49223
16;0,01;0;50,99334
16;0,01;0,01;51,50891
16;0,03;0,02;52,02243
16;0,03;0,04;52,53429
16;0,03;0,05;53,04479
16;0,02;0,05;53,54664
16;0,02;0,05;54,04847
16;0,02;0,05;54,5596
16;0,03;0,05;55,0707
16;0,03;0,04;55,57258
16;0,03;0,04;56,07682
16;0,03;0,04;56,60054
16;0,03;0,05;57,10119
16;0,03;0,05;57,61069
16;0,03;0,06;58,11726
16;0,04;0,06;58,62328
16;0,05;0,06;59,14237
16;0,04;0,06;59,65597
16;0,04;0,05;60,15625
16;0,04;0,05;60,66629
16;0,03;0,05;61,18332
16;0,04;0,05;61,68478
16;0,05;0,06;62,19645
16;0,05;0,07;62,70662
16;0,06;0,08;63,2073
16;0,06;0,08;63,70847
16;0,06;0,08;64,20985
16;0,05;0,08;64,73299
16;0,06;0,08;65,23447
16;0,05;0,08;65,7411
16;0,06;0,08;66,24702
16;0,06;0,08;66,75181
16;0,06;0,08;67,26472
16;0,05;0,08;67,77583
16;0,05;0,08;68,28843
16;0,05;0,08;68,79018
16;0,05;0,08;69,30592
16;0,05;0,08;69,8293
16;0,05;0,08;70,34486
16;0,05;0,08;70,85665
16;0,05;0,08;71,37325
16;0,05;0,09;71,886
16;0,05;0,09;72,3872
16;0,05;0,09;72,9161
16;0,05;0,09;73,42907
16;0,05;0,08;73,95483
16;0,05;0,08;74,47978
16;0,05;0,08;74,98564
16;0,05;0,08;75,50873
16;0,05;0,08;76,02184
16;0,05;0,08;76,52334
16;0,05;0,08;77,02533
16;0,05;0,08;77,53675
16;0,05;0,08;78,0497
16;0,05;0,08;78,5659
16;0,05;0,08;79,07687
16;0,05;0,08;79,58942
16;0,05;0,08;80,08969
16;0,05;0,08;80,60377
16;0,05;0,08;81,11927
16;0,05;0,08;81,63542
16;0,05;0,08;82,15834
16;0,05;0,08;82,66377
16;0,05;0,08;83,17375
16;0,05;0,08;83,68553
16;0,05;0,08;84,19054
16;0,05;0,08;84,69918
16;0,05;0,08;85,21384
16;0,05;0,07;85,71391
16;0,05;0,08;86,22971
16;0,05;0,07;86,74319
16;0,04;0,06;87,24358
16;0,04;0,07;87,74461
16;0,04;0,07;88,2567
16;0,03;0,07;88,7729
16;0,03;0,08;89,2821
16;0,04;0,09999999;89,798
16;0,04;0,11;90,30273
16;0,04;0,12;90,81322
16;0,04;0,13;91,32468
16;0,05;0,13;91,82799
16;0,04;0,15;92,32826
16;0,03;0,16;92,84212
16;0,03;0,16;93,34256
16;0,04;0,17;93,86436
16;0,04;0,17;94,37131
16;0,04;0,17;94,87788
16;0,04;0,16;95,39358
16;0,04;0,16;95,90971
16;0,04;0,17;96,42538
16;0,03;0,17;96,93825
16;0,03;0,17;97,45251
16;0,04;0,17;97,96097
16;0,04;0,17;98,4752
16;0,04;0,17;98,99128
16;0,04;0,17;99,50465
16;0,04;0,17;100,0054
16;0,04;0,16;100,5211
16;0,04;0,16;101,0342
16;0,04;0,16;101,5409
16;0,04;0,17;102,0576
16;0,04;0,17;102,5779
16;0,04;0,17;103,0969
16;0,04;0,17;103,5991
16;0,04;0,17;104,1011
16;0,04;0,17;104,6101
16;0,04;0,17;105,111
16;0,04;0,17;105,6134
16;0,04;0,16;106,1238
16;0,03;0,17;106,6358
16;0,03;0,17;107,136
16;0,03;0,17;107,6364
16;0,03;0,17;108,1383
16;0,04;0,17;108,6523
16;0,05;0,16;109,1684
16;0,05;0,16;109,6813
16;0,05;0,17;110,194
16;0,05;0,17;110,7066
16;0,05;0,17;111,2106
16;0,05;0,17;111,7194
16;0,05;0,17;112,2341
16;0,05;0,17;112,7371
16;0,06;0,17;113,2458
16;0,06;0,17;113,751
16;0,05;0,17;114,263
16;0,05;0,17;114,764
16;0,06;0,16;115,2779
16;0,06;0,16;115,7785
16;0,06;0,16;116,2808
16;0,06;0,16;116,7937
16;0,06;0,16;117,3081
16;0,06;0,15;117,8197
16;0,06;0,16;118,332
16;0,06;0,16;118,8479
16;0,06;0,16;119,3605
16;0,05;0,16;119,8721
16;0,05;0,16;120,3775
16;0,05;0,16;120,8885
16;0,06;0,16;121,3969
16;0,05;0,15;121,9125
16;0,04;0,15;122,4128
16;0,03;0,14;122,9161
16;0,03;0,14;123,4281
16;0,04;0,14;123,9427
16;0,04;0,14;124,4522
16;0,04;0,14;124,9661
16;0,04;0,14;125,4666
16;0,04;0,14;125,9783
16;0,04;0,14;126,4935
16;0,03;0,14;127,0094
16;0,04;0,13;127,5094
16;0,05;0,11;128,0114
16;0,05;0,09999999;128,518
16;0,05;0,08;129,0239
16;0,04;0,08;129,5396
16;0,04;0,08;130,053
16;0,04;0,07;130,5628
16;0,05;0,07;131,0749
16;0,06;0,06;131,5758
16;0,08;0,06;132,076
16;0,08;0,05;132,5919
16;0,08;0,05;133,106
16;0,08;0,05;133,6192
16;0,08;0,05;134,1206
16;0,09999999;0,05;134,6323
16;0,11;0,05;135,1351
16;0,13;0,04;135,6515
16;0,14;0,04;136,1716
16;0,15;0,04;136,672
16;0,15;0,04;137,1864
16;0,14;0,04;137,688
16;0,14;0,03;138,2024
16;0,14;0,04;138,7157
16;0,15;0,04;139,2372
16;0,16;0,05;139,7532
16;0,16;0,04;140,2557
16;0,16;0,04;140,7681
16;0,15;0,04;141,2704
16;0,14;0,04;141,7843
16;0,13;0,03;142,294
16;0,13;0,03;142,7981
16;0,14;0,03;143,3203
16;0,14;0,03;143,822
16;0,14;0,03;144,3386
16;0,15;0,03;144,8532
16;0,15;0,02;145,3674
16;0,14;0,01;145,8743
16;0,14;0;146,3892
16;0,14;-0,01;146,9037
16;0,14;-0,02;147,4192
16;0,13;-0,04;147,9322
16;0,13;-0,06;148,4342
16;0,13;-0,08;148,9481
16;0,13;-0,09999999;149,4629
16;0,12;-0,11;149,973
16;0,12;-0,13;150,484
16;0,13;-0,14;150,9844
16;0,13;-0,14;151,5031
16;0,12;-0,14;152,0253
16;0,12;-0,14;152,5325
16;0,12;-0,14;153,0382
16;0,12;-0,14;153,55
16;0,13;-0,13;154,0643
16;0,14;-0,12;154,5805
16;0,13;-0,12;155,0818
16;0,13;-0,12;155,5949
16;0,13;-0,12;156,099
16;0,13;-0,12;156,6105
16;0,13;-0,12;157,1153
16;0,13;-0,12;157,6232
16;0,13;-0,12;158,1358
16;0,13;-0,12;158,6483
16;0,13;-0,09999999;159,1639
16;0,13;-0,09;159,6814
16;0,14;-0,07;160,1956
16;0,14;-0,05;160,7088
16;0,13;-0,03;161,2236
16;0,13;-0,02;161,7322
16;0,14;0;162,2467
16;0,14;0,01;162,7579
16;0,14;0,02;163,2626
16;0,13;0,04;163,7848
16;0,13;0,05;164,2865
16;0,14;0,07;164,7884
16;0,15;0,07;165,2917
16;0,15;0,07;165,7985
16;0,15;0,06;166,3134
16;0,15;0,07;166,8291
16;0,15;0,08;167,3437
16;0,14;0,09999999;167,8443
16;0,15;0,09999999;168,359
16;0,15;0,09999999;168,8676
16;0,15;0,11;169,3694
16;0,14;0,13;169,8808
16;0,15;0,15;170,381
16;0,15;0,16;170,8856
16;0,15;0,17;171,3863
16;0,15;0,17;171,8991
16;0,15;0,17;172,4073
16;0,16;0,16;172,9221
16;0,15;0,16;173,4231
16;0,15;0,16;173,9254
16;0,14;0,15;174,4372
16;0,13;0,15;174,9402
16;0,14;0,15;175,4529
16;0,14;0,15;175,9553
16;0,14;0,15;176,4663
16;0,14;0,14;176,9762
16;0,13;0,14;177,4827
16;0,14;0,12;177,9912
16;0,14;0,09999999;178,5058
16;0,13;0,08;179,0238
16;0,13;0,06;179,5346
16;0,14;0,04;180,0515
16;0,13;0,02;180,5637
16;0,13;0;181,0652
16;0,13;-0,02;181,5746
16;0,14;-0,03;182,0756
16;0,13;-0,04;182,5909
16;0,13;-0,04;183,103
16;0,13;-0,04;183,6057
16;0,12;-0,04;184,1187
16;0,11;-0,05;184,633
16;0,11;-0,06;185,1463
16;0,11;-0,06;185,6547
16;0,11;-0,06;186,1602
16;0,11;-0,07;186,6621
16;0,11;-0,07;187,1678
16;0,09999999;-0,05;187,6793
16;0,09;-0,05;188,193
16;0,08;-0,05;188,6975
16;0,06;-0,06;189,2114
16;0,05;-0,05;189,7255
16;0,04;-0,05;190,2341
16;0,02;-0,05;190,7482
16;0,01;-0,06;191,2499
16;0,01;-0,05;191,7639
16;0;-0,05;192,2663
16;0;-0,05;192,7667
16;-0,01;-0,06;193,2796
16;-0,02;-0,06;193,793
16;-0,02;-0,07;194,2932
16;-0,03;-0,06;194,7949
16;-0,04;-0,06;195,3082
16;-0,05;-0,06;195,821
16;-0,05;-0,06;196,3304
16;-0,05;-0,05;196,8308
16;-0,03;-0,05;197,3464
16;-0,03;-0,05;197,8474
16;-0,02;-0,05;198,3597
16;-0,02;-0,06;198,8613
16;-0,01;-0,07;199,3755
16;0,01;-0,08;199,876
16;0,04;-0,08;200,3897
16;0,06;-0,08;200,8996
16;0,09;-0,08;201,4051
16;0,11;-0,08;201,9054
16;0,14;-0,07;202,4133
16;0,16;-0,08;202,9197
16;0,16;-0,08;203,4279
16;0,16;-0,07;203,9281
16;0,15;-0,07;204,4292
16;0,13;-0,07;204,9429
16;0,13;-0,07;205,4564
16;0,13;-0,07;205,9571
16;0,13;-0,07;206,4665
16;0,13;-0,07;206,9717
16;0,13;-0,07;207,4719
16;0,13;-0,07;207,9735
16;0,13;-0,07;208,4877
16;0,13;-0,07;209,0002
16;0,13;-0,07;209,5012
16;0,12;-0,08;210,0013
16;0,09999999;-0,08;210,5022
16;0,08;-0,07;211,0242
16;0,07;-0,08;211,5399
16;0,05;-0,08;212,0404
16;0,03;-0,08;212,5537
16;0,01;-0,08;213,0675
16;0;-0,08;213,5682
16;-0,02;-0,08;214,0914
16;-0,04;-0,08;214,6052
16;-0,06;-0,08;215,1057
16;-0,07;-0,08;215,6061
16;-0,08;-0,08;216,1208
16;-0,09999999;-0,09;216,6313
16;-0,11;-0,08;217,134
16;-0,11;-0,08;217,6354
16;-0,11;-0,08;218,1495
16;-0,11;-0,09;218,6642
16;-0,12;-0,08;219,1858
