PosX;PosY;Count
-0.200;-0.110;1.000
-0.200;0.030;3.000
-0.200;0.040;6.000
-0.200;0.050;4.000
-0.190;-0.140;2.000
-0.190;-0.110;2.000
-0.190;-0.100;5.000
-0.190;-0.090;8.000
-0.190;-0.060;12.000
-0.190;-0.040;9.000
-0.190;0.000;4.000
-0.190;0.010;3.000
-0.190;0.020;10.000
-0.190;0.030;2.000
-0.190;0.050;4.000
-0.190;0.060;1.000
-0.190;0.070;3.000
-0.180;-0.140;3.000
-0.180;-0.130;1.000
-0.180;-0.120;3.000
-0.180;-0.110;2.000
-0.180;-0.100;2.000
-0.180;-0.090;5.000
-0.180;-0.080;2.000
-0.180;-0.070;1.000
-0.180;-0.060;33.000
-0.180;-0.050;29.000
-0.180;-0.040;24.000
-0.180;-0.030;4.000
-0.180;-0.020;1.000
-0.180;0.000;2.000
-0.180;0.010;10.000
-0.180;0.050;3.000
-0.180;0.060;5.000
-0.180;0.070;2.000
-0.180;0.080;1.000
-0.180;0.090;2.000
-0.180;0.100;8.000
-0.180;0.110;2.000
-0.180;0.120;2.000
-0.170;-0.140;5.000
-0.170;-0.130;19.000
-0.170;-0.120;9.000
-0.170;-0.100;7.000
-0.170;-0.090;6.000
-0.170;-0.080;3.000
-0.170;-0.070;3.000
-0.170;-0.060;7.000
-0.170;-0.050;16.000
-0.170;-0.040;13.000
-0.170;-0.030;12.000
-0.170;-0.020;3.000
-0.170;-0.010;2.000
-0.170;0.000;4.000
-0.170;0.010;5.000
-0.170;0.020;3.000
-0.170;0.030;4.000
-0.170;0.040;10.000
-0.170;0.050;1.000
-0.170;0.060;5.000
-0.170;0.070;8.000
-0.170;0.080;4.000
-0.170;0.090;18.000
-0.170;0.100;7.000
-0.170;0.110;5.000
-0.170;0.120;1.000
-0.170;0.130;1.000
-0.170;0.150;8.000
-0.160;-0.150;2.000
-0.160;-0.140;1.000
-0.160;-0.130;9.000
-0.160;-0.120;8.000
-0.160;-0.110;11.000
-0.160;-0.100;11.000
-0.160;-0.090;2.000
-0.160;-0.070;5.000
-0.160;-0.060;11.000
-0.160;-0.050;8.000
-0.160;-0.040;7.000
-0.160;-0.030;8.000
-0.160;-0.020;3.000
-0.160;-0.010;2.000
-0.160;0.000;11.000
-0.160;0.010;15.000
-0.160;0.020;7.000
-0.160;0.030;5.000
-0.160;0.040;9.000
-0.160;0.050;12.000
-0.160;0.060;11.000
-0.160;0.070;23.000
-0.160;0.080;14.000
-0.160;0.090;2.000
-0.160;0.100;8.000
-0.160;0.110;19.000
-0.160;0.120;3.000
-0.160;0.130;4.000
-0.160;0.140;3.000
-0.150;-0.160;1.000
-0.150;-0.150;4.000
-0.150;-0.140;4.000
-0.150;-0.130;8.000
-0.150;-0.120;18.000
-0.150;-0.110;11.000
-0.150;-0.100;21.000
-0.150;-0.090;22.000
-0.150;-0.080;15.000
-0.150;-0.070;6.000
-0.150;-0.060;30.000
-0.150;-0.050;3.000
-0.150;-0.040;25.000
-0.150;-0.030;24.000
-0.150;-0.020;19.000
-0.150;-0.010;19.000
-0.150;0.000;9.000
-0.150;0.010;8.000
-0.150;0.020;11.000
-0.150;0.030;17.000
-0.150;0.040;9.000
-0.150;0.050;14.000
-0.150;0.060;16.000
-0.150;0.070;16.000
-0.150;0.080;19.000
-0.150;0.090;7.000
-0.150;0.100;12.000
-0.150;0.110;15.000
-0.150;0.120;17.000
-0.150;0.130;10.000
-0.150;0.140;3.000
-0.150;0.150;6.000
-0.140;-0.160;1.000
-0.140;-0.150;3.000
-0.140;-0.140;8.000
-0.140;-0.130;7.000
-0.140;-0.120;8.000
-0.140;-0.110;8.000
-0.140;-0.100;21.000
-0.140;-0.090;49.000
-0.140;-0.080;35.000
-0.140;-0.070;14.000
-0.140;-0.060;8.000
-0.140;-0.050;14.000
-0.140;-0.040;102.000
-0.140;-0.030;54.000
-0.140;-0.020;11.000
-0.140;-0.010;15.000
-0.140;0.000;19.000
-0.140;0.010;13.000
-0.140;0.020;35.000
-0.140;0.030;27.000
-0.140;0.040;28.000
-0.140;0.050;44.000
-0.140;0.060;20.000
-0.140;0.070;24.000
-0.140;0.080;16.000
-0.140;0.090;6.000
-0.140;0.100;6.000
-0.140;0.110;23.000
-0.140;0.120;9.000
-0.140;0.130;14.000
-0.140;0.140;8.000
-0.140;0.150;6.000
-0.140;0.160;1.000
-0.130;-0.150;5.000
-0.130;-0.140;8.000
-0.130;-0.130;12.000
-0.130;-0.120;11.000
-0.130;-0.110;22.000
-0.130;-0.100;39.000
-0.130;-0.090;24.000
-0.130;-0.080;24.000
-0.130;-0.070;12.000
-0.130;-0.060;5.000
-0.130;-0.050;9.000
-0.130;-0.040;17.000
-0.130;-0.030;13.000
-0.130;-0.020;11.000
