PosX;PosY;Count
-0.240;-0.010;1.000
-0.230;0.000;3.000
-0.220;-0.010;1.000
-0.210;-0.010;2.000
-0.210;0.000;2.000
-0.210;0.070;1.000
-0.210;0.080;6.000
-0.200;-0.110;1.000
-0.200;-0.090;1.000
-0.200;0.030;3.000
-0.200;0.040;6.000
-0.200;0.050;4.000
-0.200;0.080;11.000
-0.200;0.090;1.000
-0.200;0.100;5.000
-0.190;-0.140;2.000
-0.190;-0.110;2.000
-0.190;-0.100;7.000
-0.190;-0.090;9.000
-0.190;-0.080;1.000
-0.190;-0.060;12.000
-0.190;-0.050;2.000
-0.190;-0.040;9.000
-0.190;-0.020;1.000
-0.190;0.000;4.000
-0.190;0.010;3.000
-0.190;0.020;11.000
-0.190;0.030;3.000
-0.190;0.040;4.000
-0.190;0.050;4.000
-0.190;0.060;2.000
-0.190;0.070;4.000
-0.190;0.080;2.000
-0.190;0.090;6.000
-0.190;0.100;2.000
-0.190;0.110;2.000
-0.190;0.160;2.000
-0.180;-0.140;3.000
-0.180;-0.130;1.000
-0.180;-0.120;3.000
-0.180;-0.110;2.000
-0.180;-0.100;2.000
-0.180;-0.090;5.000
-0.180;-0.080;2.000
-0.180;-0.070;1.000
-0.180;-0.060;35.000
-0.180;-0.050;30.000
-0.180;-0.040;27.000
-0.180;-0.030;5.000
-0.180;-0.020;1.000
-0.180;0.000;2.000
-0.180;0.010;19.000
-0.180;0.020;6.000
-0.180;0.030;9.000
-0.180;0.040;4.000
-0.180;0.050;9.000
-0.180;0.060;7.000
-0.180;0.070;4.000
-0.180;0.080;5.000
-0.180;0.090;4.000
-0.180;0.100;10.000
-0.180;0.110;3.000
-0.180;0.120;2.000
-0.180;0.150;1.000
-0.180;0.160;1.000
-0.180;0.170;1.000
-0.170;-0.140;5.000
-0.170;-0.130;19.000
-0.170;-0.120;12.000
-0.170;-0.110;3.000
-0.170;-0.100;7.000
-0.170;-0.090;6.000
-0.170;-0.080;4.000
-0.170;-0.070;4.000
-0.170;-0.060;9.000
-0.170;-0.050;17.000
-0.170;-0.040;13.000
-0.170;-0.030;13.000
-0.170;-0.020;3.000
-0.170;-0.010;2.000
-0.170;0.000;4.000
-0.170;0.010;7.000
-0.170;0.020;6.000
-0.170;0.030;7.000
-0.170;0.040;19.000
-0.170;0.050;12.000
-0.170;0.060;13.000
-0.170;0.070;9.000
-0.170;0.080;4.000
-0.170;0.090;18.000
-0.170;0.100;9.000
-0.170;0.110;5.000
-0.170;0.120;2.000
-0.170;0.130;2.000
-0.170;0.140;7.000
-0.170;0.150;9.000
-0.170;0.160;1.000
-0.160;-0.150;2.000
-0.160;-0.140;1.000
-0.160;-0.130;9.000
-0.160;-0.120;21.000
-0.160;-0.110;15.000
-0.160;-0.100;13.000
-0.160;-0.090;8.000
-0.160;-0.080;7.000
-0.160;-0.070;9.000
-0.160;-0.060;16.000
-0.160;-0.050;12.000
-0.160;-0.040;9.000
-0.160;-0.030;8.000
-0.160;-0.020;3.000
-0.160;-0.010;4.000
-0.160;0.000;15.000
-0.160;0.010;21.000
-0.160;0.020;17.000
-0.160;0.030;31.000
-0.160;0.040;30.000
-0.160;0.050;15.000
-0.160;0.060;16.000
-0.160;0.070;28.000
-0.160;0.080;19.000
-0.160;0.090;3.000
-0.160;0.100;8.000
-0.160;0.110;24.000
-0.160;0.120;6.000
-0.160;0.130;5.000
-0.160;0.140;5.000
-0.150;-0.160;6.000
-0.150;-0.150;4.000
-0.150;-0.140;5.000
-0.150;-0.130;10.000
-0.150;-0.120;29.000
-0.150;-0.110;26.000
-0.150;-0.100;37.000
-0.150;-0.090;24.000
-0.150;-0.080;24.000
-0.150;-0.070;11.000
-0.150;-0.060;34.000
-0.150;-0.050;15.000
-0.150;-0.040;38.000
-0.150;-0.030;27.000
-0.150;-0.020;25.000
-0.150;-0.010;24.000
-0.150;0.000;36.000
-0.150;0.010;17.000
-0.150;0.020;51.000
-0.150;0.030;24.000
-0.150;0.040;17.000
-0.150;0.050;29.000
-0.150;0.060;27.000
-0.150;0.070;28.000
-0.150;0.080;34.000
-0.150;0.090;21.000
-0.150;0.100;22.000
-0.150;0.110;19.000
-0.150;0.120;20.000
-0.150;0.130;10.000
-0.150;0.140;3.000
-0.150;0.150;6.000
-0.140;-0.160;1.000
-0.140;-0.150;5.000
-0.140;-0.140;19.000
-0.140;-0.130;17.000
-0.140;-0.120;22.000
-0.140;-0.110;22.000
-0.140;-0.100;26.000
-0.140;-0.090;59.000
-0.140;-0.080;43.000
-0.140;-0.070;28.000
-0.140;-0.060;18.000
-0.140;-0.050;30.000
-0.140;-0.040;121.000
-0.140;-0.030;64.000
-0.140;-0.020;20.000
-0.140;-0.010;33.000
-0.140;0.000;31.000
-0.140;0.010;28.000
-0.140;0.020;69.000
-0.140;0.030;47.000
-0.140;0.040;42.000
-0.140;0.050;59.000
-0.140;0.060;43.000
-0.140;0.070;36.000
-0.140;0.080;32.000
-0.140;0.090;25.000
-0.140;0.100;59.000
-0.140;0.110;44.000
-0.140;0.120;16.000
-0.140;0.130;19.000
-0.140;0.140;8.000
-0.140;0.150;6.000
-0.140;0.160;3.000
-0.130;-0.150;12.000
-0.130;-0.140;15.000
-0.130;-0.130;18.000
-0.130;-0.120;21.000
-0.130;-0.110;30.000
-0.130;-0.100;73.000
-0.130;-0.090;32.000
-0.130;-0.080;37.000
-0.130;-0.070;24.000
-0.130;-0.060;20.000
-0.130;-0.050;70.000
-0.130;-0.040;34.000
-0.130;-0.030;28.000
-0.130;-0.020;23.000
-0.130;-0.010;38.000
-0.130;0.000;33.000
-0.130;0.010;41.000
-0.130;0.020;66.000
-0.130;0.030;41.000
-0.130;0.040;56.000
-0.130;0.050;74.000
-0.130;0.060;53.000
-0.130;0.070;32.000
-0.130;0.080;41.000
-0.130;0.090;24.000
-0.130;0.100;75.000
-0.130;0.110;44.000
-0.130;0.120;40.000
-0.130;0.130;18.000
-0.130;0.140;6.000
-0.130;0.150;6.000
-0.130;0.160;18.000
-0.130;0.170;5.000
-0.130;0.190;3.000
-0.130;0.200;1.000
-0.120;-0.170;1.000
-0.120;-0.160;1.000
-0.120;-0.150;26.000
-0.120;-0.140;14.000
-0.120;-0.130;18.000
-0.120;-0.120;18.000
-0.120;-0.110;52.000
-0.120;-0.100;30.000
-0.120;-0.090;44.000
-0.120;-0.080;37.000
-0.120;-0.070;31.000
-0.120;-0.060;29.000
-0.120;-0.050;50.000
-0.120;-0.040;32.000
-0.120;-0.030;27.000
-0.120;-0.020;22.000
-0.120;-0.010;27.000
-0.120;0.000;40.000
-0.120;0.010;41.000
-0.120;0.020;39.000
-0.120;0.030;42.000
-0.120;0.040;72.000
-0.120;0.050;158.000
-0.120;0.060;45.000
-0.120;0.070;53.000
-0.120;0.080;38.000
-0.120;0.090;53.000
-0.120;0.100;35.000
-0.120;0.110;33.000
-0.120;0.120;82.000
-0.120;0.130;27.000
-0.120;0.140;23.000
-0.120;0.150;23.000
-0.120;0.160;25.000
-0.120;0.170;8.000
-0.120;0.180;4.000
-0.120;0.190;2.000
-0.110;-0.180;2.000
-0.110;-0.160;4.000
-0.110;-0.150;16.000
-0.110;-0.140;24.000
-0.110;-0.130;42.000
-0.110;-0.120;40.000
-0.110;-0.110;53.000
-0.110;-0.100;30.000
-0.110;-0.090;60.000
-0.110;-0.080;42.000
-0.110;-0.070;34.000
-0.110;-0.060;24.000
-0.110;-0.050;17.000
-0.110;-0.040;28.000
-0.110;-0.030;22.000
-0.110;-0.020;23.000
-0.110;-0.010;29.000
-0.110;0.000;32.000
-0.110;0.010;39.000
-0.110;0.020;133.000
-0.110;0.030;53.000
-0.110;0.040;49.000
-0.110;0.050;54.000
-0.110;0.060;52.000
-0.110;0.070;45.000
-0.110;0.080;45.000
-0.110;0.090;24.000
-0.110;0.100;32.000
-0.110;0.110;24.000
-0.110;0.120;26.000
-0.110;0.130;32.000
-0.110;0.140;11.000
-0.110;0.150;12.000
-0.110;0.160;15.000
-0.110;0.170;8.000
-0.100;-0.180;5.000
-0.100;-0.170;5.000
-0.100;-0.160;14.000
-0.100;-0.150;18.000
-0.100;-0.140;32.000
-0.100;-0.130;45.000
-0.100;-0.120;39.000
-0.100;-0.110;39.000
-0.100;-0.100;39.000
-0.100;-0.090;56.000
-0.100;-0.080;43.000
-0.100;-0.070;32.000
-0.100;-0.060;26.000
-0.100;-0.050;17.000
-0.100;-0.040;50.000
-0.100;-0.030;29.000
-0.100;-0.020;37.000
-0.100;-0.010;17.000
-0.100;0.000;17.000
-0.100;0.010;61.000
-0.100;0.020;37.000
-0.100;0.030;73.000
-0.100;0.040;34.000
-0.100;0.050;47.000
-0.100;0.060;44.000
-0.100;0.070;27.000
-0.100;0.080;32.000
-0.100;0.090;33.000
-0.100;0.100;55.000
-0.100;0.110;41.000
-0.100;0.120;47.000
-0.100;0.130;39.000
-0.100;0.140;24.000
-0.100;0.150;12.000
-0.100;0.160;12.000
-0.100;0.170;5.000
-0.100;0.180;1.000
-0.090;-0.180;1.000
-0.090;-0.170;2.000
-0.090;-0.160;7.000
-0.090;-0.150;22.000
-0.090;-0.140;31.000
-0.090;-0.130;47.000
-0.090;-0.120;42.000
-0.090;-0.110;35.000
-0.090;-0.100;67.000
-0.090;-0.090;57.000
-0.090;-0.080;30.000
